ElapsedSeconds,PowerMW,ThroughputMbps,TargetMbps,Phase
0.0,4290.0,0.00,0,pre
5.0,4290.0,0.00,0,pre
10.0,4290.0,0.00,0,pre
15.0,4290.0,0.00,0,pre
20.0,4290.0,0.00,0,pre
25.0,4290.0,0.00,0,pre
30.0,4290.0,0.00,0,pre
35.0,4290.0,0.00,0,pre
40.0,4290.0,0.00,0,pre
45.0,4290.0,0.00,0,pre
50.0,4290.0,0.00,0,pre
55.0,4290.0,0.00,0,pre
60.0,4290.0,0.00,0,pre
65.0,4290.0,0.00,0,pre
70.0,4290.0,0.00,0,pre
75.0,4000.0,0.00,0,pre
80.0,4000.0,0.00,0,pre
85.0,4000.0,0.00,0,pre
90.0,4000.0,0.00,0,pre
95.0,4000.0,0.00,0,pre
100.0,4000.0,0.00,0,pre
105.0,4000.0,0.00,0,pre
110.0,4000.0,0.00,0,pre
115.0,4000.0,0.00,0,pre
120.0,4000.0,0.00,0,pre
125.0,4000.0,0.00,0,pre
130.0,4000.0,0.00,0,pre
135.0,4000.0,0.00,0,pre
140.0,4000.0,0.00,0,pre
145.0,4000.0,0.00,0,pre
150.0,4000.0,0.00,0,pre
155.0,4000.0,0.00,0,pre
160.0,4000.0,0.00,0,pre
165.0,4000.0,0.00,0,pre
170.0,4000.0,0.00,0,pre
175.0,4000.0,0.00,0,pre
180.0,4000.0,0.00,0,pre
185.0,4000.0,0.00,0,pre
190.0,4000.0,0.00,0,pre
195.0,4000.0,0.00,0,pre
200.0,4000.0,0.00,0,pre
205.0,4000.0,0.00,0,pre
210.0,4000.0,0.00,0,pre
215.0,4000.0,0.00,0,pre
220.0,4000.0,0.00,0,pre
225.0,4000.0,0.00,0,pre
230.0,4000.0,0.00,0,pre
235.0,4000.0,0.00,0,pre
240.0,4000.0,0.00,0,pre
245.0,4000.0,0.00,0,pre
250.0,4000.0,0.00,0,pre
255.0,4000.0,0.00,0,pre
260.0,4000.0,0.00,0,pre
265.0,4000.0,0.00,0,pre
270.0,4000.0,0.00,0,pre
275.0,4000.0,0.00,0,pre
280.0,4000.0,0.00,0,pre
285.0,4000.0,0.00,0,pre
290.0,4000.0,0.00,0,pre
295.0,4000.0,0.00,0,pre
300.0,4000.0,248.80,250,load
